written_utc,season,week,away,home,qb_out,starters_out,confidence,spread_open,spread_at_write,total_open,total_at_write,our_number
2026-09-09T06:24:01.583983+00:00,2026,2,Florida A&M,Miami,,,,56.0,56.5,62.5,62.5,57.032
2026-09-09T06:24:01.583983+00:00,2026,2,Villanova,Louisville,,,,36.5,36.5,55.5,56.5,30.212
2026-09-09T06:24:01.583983+00:00,2026,2,Richmond,NC State,,,,30.5,30.5,48.5,48.5,30.842
2026-09-09T06:24:01.583983+00:00,2026,2,Norfolk State,Virginia,,,,44.5,44.5,54.5,54.5,39.432
2026-09-09T06:24:01.583983+00:00,2026,2,Rutgers,Boston College,,,,3.5,3.0,54.5,54.5,8.812
2026-09-09T06:24:01.583983+00:00,2026,2,Missouri,Kansas,,,,-6.75,-5.5,51.25,50.5,-2.998000000000001
2026-09-09T06:24:01.583983+00:00,2026,2,Penn State,Temple,,,,-22.5,-24.0,50.5,49.5,-10.408
2026-09-09T06:24:01.583983+00:00,2026,2,Oklahoma,Michigan,,,,1.5,-5.5,46.0,43.5,-4.6080000000000005
2026-09-09T06:24:01.583983+00:00,2026,2,Washington State,Kansas State,,,,17.5,19.0,50.25,49.0,14.782
2026-09-09T06:24:01.583983+00:00,2026,2,Oregon,Oklahoma State,,,,-20.5,-22.5,59.0,57.5,-22.578000000000003
2026-09-09T06:24:01.583983+00:00,2026,2,Wake Forest,Purdue,,,,-4.0,-3.0,49.75,49.5,-2.3279999999999994
2026-09-09T06:24:01.583983+00:00,2026,2,South Florida,Army,,,,2.5,3.5,51.0,46.5,-6.707999999999998
2026-09-09T06:24:01.583983+00:00,2026,2,Arizona State,Texas A&M,,,,14.25,14.5,51.5,50.5,19.242
2026-09-09T06:24:01.583983+00:00,2026,2,App State,East Carolina,,,,9.75,7.0,56.5,56.5,8.292
2026-09-09T06:24:01.583983+00:00,2026,2,Old Dominion,Virginia Tech,,,,16.25,19.5,51.0,50.0,3.802
2026-09-09T06:24:01.583983+00:00,2026,2,Howard,Indiana,,,,56.5,55.5,64.5,64.5,57.942
2026-09-09T06:24:01.583983+00:00,2026,2,East Tennessee State,North Carolina,,,,,35.5,,53.0,26.502
2026-09-09T06:24:01.583983+00:00,2026,2,Wofford,Kent State,,,,,13.0,,46.5,8.802
2026-09-09T06:24:01.583983+00:00,2026,2,Western Kentucky,Georgia,,,,37.5,41.0,53.25,55.5,36.092
2026-09-09T06:24:01.583983+00:00,2026,2,Colgate,Central Michigan,,,,,25.0,,50.0,20.412
2026-09-09T06:24:01.583983+00:00,2026,2,Holy Cross,Miami (OH),,,,,31.5,,51.5,28.402
