season,week,away,home,market,strategy,tier,grade,side,number,book,issued_utc,result,settled_utc
2026,1,Tulane,Duke,spread,price_gap,LEAN,C,Duke,-7.5,Bovada,2026-09-05T07:57:31.759715+00:00,,
2026,1,Clemson,LSU,spread,price_gap,LEAN,C,LSU,-9.5,Bovada,2026-09-05T07:57:31.759715+00:00,,
2026,1,Central Michigan,New Mexico,spread,price_gap,LEAN,C,New Mexico,-10.5,Bovada,2026-09-05T07:57:31.759715+00:00,,
2026,1,Western Kentucky,Nevada,spread,price_gap,LEAN,C,Western Kentucky,1.0,Bovada,2026-09-05T07:57:31.759715+00:00,,
2026,1,Ohio,Nebraska,spread,model_gap_early,AVOID,D,Ohio,23.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Ohio,Nebraska,moneyline,model_gap_early,AVOID,D,Ohio,1250.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Ohio,Nebraska,total,total_over,AVOID,D,over,46.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Liberty,James Madison,spread,model_gap_early,AVOID,D,James Madison,-6.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Liberty,James Madison,moneyline,model_gap_early,AVOID,D,James Madison,-237.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Liberty,James Madison,total,total_over,AVOID,D,over,50.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Coastal Carolina,West Virginia,spread,model_gap_early,AVOID,D,Coastal Carolina,21.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Coastal Carolina,West Virginia,moneyline,model_gap_early,AVOID,D,Coastal Carolina,900.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Coastal Carolina,West Virginia,total,total_over,AVOID,D,over,54.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,North Texas,Indiana,spread,model_gap_early,AVOID,D,North Texas,40.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,North Texas,Indiana,total,total_over,AVOID,D,over,56.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Oregon State,Houston,spread,model_gap_early,AVOID,D,Oregon State,20.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Oregon State,Houston,moneyline,model_gap_early,AVOID,D,Oregon State,862.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Oregon State,Houston,total,total_over,AVOID,D,under,50.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,East Carolina,Alabama,spread,model_gap_early,AVOID,D,East Carolina,27.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,East Carolina,Alabama,total,total_over,AVOID,D,over,52.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Miami (OH),Pittsburgh,spread,model_gap_early,AVOID,D,Miami (OH),16.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Miami (OH),Pittsburgh,moneyline,model_gap_early,AVOID,D,Miami (OH),537.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Miami (OH),Pittsburgh,total,total_over,AVOID,D,over,47.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Ball State,Ohio State,spread,model_gap_early,AVOID,D,Ball State,50.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Ball State,Ohio State,total,total_over,AVOID,D,under,56.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Kent State,South Carolina,spread,model_gap_early,AVOID,D,Kent State,36.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Kent State,South Carolina,total,total_over,AVOID,D,under,53.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Baylor,Auburn,spread,model_gap_early,AVOID,D,Auburn,-7.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Baylor,Auburn,moneyline,model_gap_early,AVOID,D,Auburn,-277.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Baylor,Auburn,total,total_over,AVOID,D,under,59.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Texas State,Texas,spread,model_gap_early,AVOID,D,Texas State,29.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Texas State,Texas,total,total_over,AVOID,D,under,59.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Marshall,Penn State,spread,model_gap_early,AVOID,D,Marshall,23.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Marshall,Penn State,moneyline,model_gap_early,AVOID,D,Marshall,1150.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Marshall,Penn State,total,total_over,AVOID,D,over,52.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boston College,Cincinnati,spread,model_gap_early,AVOID,D,Cincinnati,-7.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boston College,Cincinnati,moneyline,model_gap_early,AVOID,D,Boston College,232.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boston College,Cincinnati,total,total_over,AVOID,D,over,50.2,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Tulane,Duke,spread,model_gap_early,AVOID,D,Tulane,7.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Tulane,Duke,moneyline,model_gap_early,AVOID,D,Tulane,305.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Tulane,Duke,total,total_over,AVOID,D,over,51.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Tulane,Duke,price,price_gap,LEAN,A,Duke,-7.5,Bovada,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boise State,Oregon,spread,model_gap_early,AVOID,D,Boise State,24.8,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boise State,Oregon,moneyline,model_gap_early,AVOID,D,Oregon,-3250.0,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Boise State,Oregon,total,total_over,AVOID,D,over,51.5,consensus,2026-09-05T08:25:34.766161+00:00,,
2026,1,Oklahoma State,Tulsa,spread,model_gap_early,AVOID,D,Tulsa,13.5,consensus,2026-09-05T08:25:34.766161+00:00,,
