fetched_utc,commence_time,home_team,away_team,book,last_update,spread,total,home_moneyline,away_moneyline
2026-09-22T19:01:19.336472+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,FanDuel,2026-09-22T19:01:17Z,2.5,50.5,112.0,-134.0
2026-09-22T19:01:19.336520+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,MyBookie.ag,2026-09-22T18:59:34Z,2.5,51.0,112.0,-138.0
2026-09-22T19:01:19.336534+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,BetRivers,2026-09-22T19:00:35Z,2.5,51.0,110.0,-136.0
2026-09-22T19:01:19.336544+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,DraftKings,2026-09-22T19:01:15Z,2.5,50.5,114.0,-135.0
2026-09-22T19:01:19.336553+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,LowVig.ag,2026-09-22T18:59:17Z,2.5,51.0,122.0,-142.0
2026-09-22T19:01:19.336561+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,BetOnline.ag,2026-09-22T19:01:16Z,2.5,51.0,122.0,-142.0
2026-09-22T19:01:19.336569+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,BetMGM,2026-09-22T18:59:15Z,2.5,50.5,115.0,-140.0
2026-09-22T19:01:19.336578+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,BetUS,2026-09-22T19:01:18Z,2.5,51.0,120.0,-140.0
2026-09-22T19:01:19.336586+00:00,2026-09-24T23:30:00Z,Coastal Carolina Chanticleers,Liberty Flames,Bovada,2026-09-22T19:00:58Z,2.5,51.0,115.0,-135.0
2026-09-22T19:01:19.336595+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,FanDuel,2026-09-22T19:01:17Z,3.5,48.5,130.0,-156.0
2026-09-22T19:01:19.336604+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,MyBookie.ag,2026-09-22T18:59:34Z,3.0,48.0,131.0,-161.0
2026-09-22T19:01:19.336612+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,BetRivers,2026-09-22T19:00:35Z,3.0,48.0,125.0,-157.0
2026-09-22T19:01:19.336619+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,DraftKings,2026-09-22T19:01:15Z,3.0,48.5,136.0,-162.0
2026-09-22T19:01:19.336627+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,LowVig.ag,2026-09-22T18:59:17Z,3.0,48.5,140.0,-160.0
2026-09-22T19:01:19.336635+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,BetOnline.ag,2026-09-22T19:01:16Z,3.0,48.5,140.0,-160.0
2026-09-22T19:01:19.336642+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,BetMGM,2026-09-22T18:59:15Z,3.0,48.5,130.0,-155.0
2026-09-22T19:01:19.336650+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,BetUS,2026-09-22T19:01:18Z,3.0,48.0,138.0,-160.0
2026-09-22T19:01:19.336658+00:00,2026-09-25T20:00:00Z,Temple Owls,Army Black Knights,Bovada,2026-09-22T19:00:58Z,3.0,48.0,130.0,-150.0
2026-09-22T19:01:19.336666+00:00,2026-09-25T23:00:00Z,Rutgers Scarlet Knights,Howard Bison,FanDuel,2026-09-22T19:01:17Z,-42.5,53.5,-20000.0,3500.0
2026-09-22T19:01:19.336673+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,FanDuel,2026-09-22T19:01:17Z,7.5,51.5,230.0,-285.0
2026-09-22T19:01:19.336681+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,MyBookie.ag,2026-09-22T18:59:34Z,7.0,51.0,228.0,-295.0
2026-09-22T19:01:19.336689+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,BetRivers,2026-09-22T19:00:35Z,7.0,51.5,220.0,-286.0
2026-09-22T19:01:19.336697+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,DraftKings,2026-09-22T19:01:15Z,7.0,51.5,225.0,-278.0
2026-09-22T19:01:19.336704+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,LowVig.ag,2026-09-22T18:59:17Z,7.0,51.5,226.0,-275.0
2026-09-22T19:01:19.336712+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,BetOnline.ag,2026-09-22T19:01:16Z,7.0,51.5,226.0,-275.0
2026-09-22T19:01:19.336719+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,BetMGM,2026-09-22T18:59:15Z,7.0,51.5,225.0,-275.0
2026-09-22T19:01:19.336727+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,BetUS,2026-09-22T19:01:18Z,7.0,51.5,230.0,-275.0
2026-09-22T19:01:19.336735+00:00,2026-09-25T23:00:00Z,UAB Blazers,Navy Midshipmen,Bovada,2026-09-22T19:00:58Z,7.0,51.5,225.0,-275.0
2026-09-22T19:01:19.336742+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,FanDuel,2026-09-22T19:01:17Z,-20.5,49.5,-2500.0,1060.0
2026-09-22T19:01:19.336750+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,MyBookie.ag,2026-09-22T18:59:34Z,-21.5,49.0,-2549.0,1042.0
2026-09-22T19:01:19.336758+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,DraftKings,2026-09-22T19:01:15Z,-21.0,49.5,-1800.0,1000.0
2026-09-22T19:01:19.336765+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,BetRivers,2026-09-22T19:00:35Z,-21.0,49.0,-2500.0,1000.0
2026-09-22T19:01:19.336773+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,LowVig.ag,2026-09-22T18:59:17Z,-21.0,49.0,-1800.0,979.0
2026-09-22T19:01:19.336781+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,BetOnline.ag,2026-09-22T19:01:16Z,-21.0,49.0,-1800.0,979.0
2026-09-22T19:01:19.336788+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,BetMGM,2026-09-22T18:59:15Z,-21.0,49.5,-1600.0,1050.0
2026-09-22T19:01:19.336795+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,BetUS,2026-09-22T19:01:18Z,-21.0,49.5,-1800.0,1000.0
2026-09-22T19:01:19.336802+00:00,2026-09-26T00:00:00Z,Indiana Hoosiers,Northwestern Wildcats,Bovada,2026-09-22T19:00:58Z,-20.5,49.5,-1800.0,850.0
2026-09-22T19:01:19.336810+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,FanDuel,2026-09-22T19:01:18Z,1.5,50.5,-110.0,-110.0
2026-09-22T19:01:19.336817+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,MyBookie.ag,2026-09-22T18:59:34Z,1.0,50.5,-106.0,-115.0
2026-09-22T19:01:19.336824+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,BetRivers,2026-09-22T19:00:35Z,0.5,50.0,-112.0,-112.0
2026-09-22T19:01:19.336831+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,DraftKings,2026-09-22T19:01:15Z,-1.5,50.5,-108.0,-112.0
2026-09-22T19:01:19.336838+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,LowVig.ag,2026-09-22T18:59:17Z,0.0,50.5,,
2026-09-22T19:01:19.336845+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,BetOnline.ag,2026-09-22T19:01:16Z,0.0,50.5,,
2026-09-22T19:01:19.336851+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,BetMGM,2026-09-22T18:59:15Z,1.0,50.5,-108.0,-110.0
2026-09-22T19:01:19.336858+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,BetUS,2026-09-22T19:01:18Z,0.0,50.5,,
2026-09-22T19:01:19.336865+00:00,2026-09-26T02:30:00Z,California Golden Bears,Clemson Tigers,Bovada,2026-09-22T19:00:58Z,1.0,50.5,-110.0,-110.0
2026-09-22T19:01:19.336872+00:00,2026-09-26T16:00:00Z,Akron Zips,UNLV Rebels,FanDuel,2026-09-22T19:01:17Z,13.5,52.5,440.0,-610.0
2026-09-22T19:01:19.336879+00:00,2026-09-26T16:00:00Z,Akron Zips,UNLV Rebels,MyBookie.ag,2026-09-22T18:59:34Z,13.5,52.5,430.0,-625.0
2026-09-22T19:01:19.336886+00:00,2026-09-26T16:00:00Z,Akron Zips,UNLV Rebels,BetRivers,2026-09-22T19:00:35Z,13.5,52.0,440.0,-715.0
2026-09-22T19:01:19.336893+00:00,2026-09-26T16:00:00Z,Akron Zips,UNLV Rebels,DraftKings,2026-09-22T19:01:15Z,13.5,52.5,410.0,-550.0
