season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2026,Air Force,Mountain West,185.9,78.9,14.5,92.4,0.574,1.017,0.127,0.697,0.625,0.994,0.143,0.636
2026,Akron,Mid-American,158.8,38.2,101.7,18.9,0.918,0.874,0.92,1.022,0.943,0.995,0.825,0.997
2026,Alabama,SEC,120.2,22.2,107.0,-9.1,0.264,0.123,0.41,-0.669,0.301,0.092,0.466,0.389
2026,App State,Sun Belt,107.7,-22.1,105.5,24.3,0.379,-0.309,0.575,0.85,0.523,0.142,0.665,0.882
2026,Arizona,Big 12,202.4,84.9,74.6,42.9,0.649,1.199,0.438,0.603,0.686,0.961,0.401,0.65
2026,Arizona State,Big 12,37.6,3.4,37.0,-2.8,0.155,0.054,0.305,-0.048,0.135,0.002,0.279,0.147
2026,Arkansas,SEC,65.7,25.0,24.7,15.9,0.145,0.187,0.117,0.145,0.196,0.136,0.272,0.189
2026,Arkansas State,Sun Belt,73.9,6.0,84.5,-16.5,0.3,0.072,0.542,-2.463,0.389,0.007,0.628,0.609
2026,Army,American Athletic,168.5,31.5,64.8,72.1,0.802,0.626,0.831,0.886,0.586,0.667,0.467,0.587
2026,Auburn,SEC,35.8,0.0,9.2,26.7,0.144,0.0,0.088,0.263,0.196,0.0,0.087,0.48
2026,Ball State,Mid-American,5.6,0.0,28.9,-23.3,0.057,0.0,0.319,-1.036,0.173,0.0,0.293,0.243
2026,Baylor,Big 12,212.6,90.4,86.0,36.2,0.602,0.777,0.469,0.677,0.651,0.984,0.325,0.598
2026,Boise State,Mountain West,234.2,92.8,74.4,67.0,0.663,0.943,0.396,1.004,0.734,0.996,0.348,0.807
2026,Boston College,ACC,45.8,8.6,41.9,-4.8,0.156,0.083,0.232,-0.623,0.095,0.006,0.213,0.078
2026,Bowling Green,Mid-American,-7.1,-9.4,2.2,0.0,-0.062,9.4,0.025,0.0,0.226,0.23,0.106,0.293
2026,Buffalo,Mid-American,-1.6,5.8,-8.4,1.0,-0.008,0.094,-0.071,0.09,0.146,0.007,0.341,0.111
2026,BYU,Big 12,284.3,114.6,78.6,91.0,0.785,1.0,0.513,0.965,0.882,1.0,0.602,0.998
2026,California,ACC,188.8,104.3,88.9,-4.4,0.583,0.887,0.43,0.0,0.53,0.972,0.311,0.142
2026,Central Michigan,Mid-American,134.9,7.8,84.0,43.1,0.54,0.092,0.646,1.228,0.422,0.18,0.615,0.468
2026,Charlotte,American Athletic,53.6,41.8,19.0,-7.2,0.409,1.13,0.158,0.268,0.478,0.887,0.145,0.308
2026,Cincinnati,Big 12,34.8,5.2,25.3,4.4,0.083,0.035,0.153,0.041,0.071,0.019,0.086,0.107
2026,Clemson,ACC,124.3,14.1,121.4,-11.2,0.414,0.141,0.712,-0.377,0.373,0.175,0.658,0.304
2026,Coastal Carolina,Sun Belt,28.4,5.8,17.0,5.6,0.154,0.115,0.17,0.161,0.226,0.005,0.336,0.346
2026,Colorado,Big 12,26.4,-13.2,47.2,-7.6,0.137,-0.261,0.386,-0.371,0.36,0.267,0.494,0.34
2026,Colorado State,Mountain West,79.6,12.4,73.2,-6.0,0.396,0.23,0.584,-0.28,0.306,0.269,0.5,0.139
2026,Delaware,Conference USA,299.8,126.1,150.2,23.6,0.849,0.963,0.771,0.877,0.917,0.98,0.796,0.986
2026,Duke,ACC,75.6,6.7,45.0,23.9,0.171,0.041,0.203,0.432,0.22,0.004,0.227,0.488
2026,East Carolina,American Athletic,50.6,0.0,37.5,13.1,0.136,0.0,0.195,0.268,0.136,0.0,0.262,0.158
2026,Eastern Michigan,Mid-American,228.5,100.3,104.3,23.9,0.721,0.974,0.635,0.486,0.587,0.995,0.501,0.223
2026,Florida,SEC,143.0,44.7,60.8,37.5,0.691,0.943,0.515,0.893,0.79,0.997,0.497,0.834
2026,Florida Atlantic,American Athletic,266.8,125.1,105.7,36.0,0.684,0.934,0.475,1.068,0.65,0.908,0.459,0.494
2026,Florida International,Conference USA,75.2,-0.3,66.6,8.9,0.316,-0.006,0.489,0.164,0.263,0.002,0.494,0.339
2026,Florida State,ACC,162.9,13.2,114.2,35.5,0.401,0.125,0.652,0.282,0.305,0.06,0.548,0.333
2026,Fresno State,Mountain West,104.6,7.4,90.3,6.9,0.383,0.073,0.695,0.166,0.491,0.005,0.746,0.712
2026,Georgia,SEC,248.1,120.2,59.4,68.5,0.687,0.997,0.347,0.993,0.742,0.991,0.327,0.826
2026,Georgia Southern,Sun Belt,19.4,-2.9,17.1,5.2,0.058,-0.04,0.093,0.066,0.212,0.071,0.202,0.376
2026,Georgia State,Sun Belt,131.7,62.0,46.5,23.2,0.465,0.642,0.276,1.268,0.286,0.403,0.232,0.188
2026,Georgia Tech,ACC,47.7,0.0,19.0,28.7,0.126,0.0,0.113,0.348,0.145,0.0,0.137,0.275
2026,Hawai'i,Mountain West,234.7,123.6,105.5,5.6,0.645,0.912,0.523,0.211,0.578,0.786,0.449,0.425
2026,Houston,Big 12,242.7,106.5,108.5,27.7,0.812,0.915,0.613,5.226,0.6,0.929,0.494,0.429
2026,Illinois,Big Ten,83.5,4.8,63.0,15.7,0.211,0.032,0.313,0.342,0.435,0.005,0.462,0.833
2026,Indiana,Big Ten,97.9,3.7,63.0,31.2,0.166,0.019,0.241,0.245,0.118,0.005,0.154,0.175
2026,Iowa,Big Ten,80.4,8.1,55.0,17.2,0.342,0.163,0.559,0.197,0.404,0.087,0.498,0.556
2026,Iowa State,Big 12,4.7,2.2,-0.3,2.7,0.017,0.03,-0.002,0.045,0.029,0.006,0.057,0.028
2026,Jacksonville State,Conference USA,133.7,31.1,49.2,53.4,0.495,0.76,0.49,0.416,0.466,0.66,0.293,0.438
2026,James Madison,Sun Belt,31.0,6.1,15.8,9.1,0.08,0.093,0.086,0.066,0.079,0.01,0.176,0.083
2026,Kansas,Big 12,59.5,-1.5,49.7,11.2,0.181,-0.015,0.331,0.145,0.162,0.071,0.344,0.098
2026,Kansas State,Big 12,167.8,74.7,71.7,21.5,0.714,1.0,0.573,0.606,0.795,1.0,0.633,0.736
2026,Kennesaw State,Conference USA,23.1,0.0,26.2,-3.1,0.061,0.0,0.132,-0.038,0.052,0.0,0.181,0.008
2026,Kent State,Mid-American,108.3,60.7,52.6,-5.0,0.641,1.032,0.452,0.758,0.516,0.85,0.514,0.229
2026,Kentucky,SEC,43.8,-1.6,48.3,-2.9,0.193,-0.029,0.345,-0.093,0.18,0.016,0.406,0.158
2026,Liberty,Conference USA,86.9,34.3,25.6,26.9,0.383,0.746,0.211,0.45,0.425,0.828,0.284,0.221
2026,Louisiana,Sun Belt,189.3,46.5,102.1,40.7,0.919,1.011,0.924,0.824,0.661,0.9,0.867,0.361
2026,Louisiana Tech,Conference USA,138.6,53.2,54.7,30.7,0.639,0.991,0.439,0.785,0.489,0.829,0.385,0.312
2026,Louisville,ACC,92.3,0.0,25.9,66.4,0.348,0.0,0.182,0.846,0.268,0.0,0.236,0.608
2026,LSU,SEC,42.9,5.8,26.9,10.2,0.212,0.132,0.203,0.402,0.269,0.005,0.16,0.702
2026,Marshall,Sun Belt,284.6,101.3,161.0,22.3,0.988,1.002,0.914,2.104,0.752,0.935,0.893,0.551
2026,Maryland,Big Ten,112.3,71.3,31.5,9.5,0.54,0.866,0.264,1.418,0.705,0.953,0.418,0.73
2026,Massachusetts,Mid-American,-3.4,10.4,-4.3,-9.5,-0.567,-0.365,-0.11,2.209,0.135,0.005,0.276,0.148
2026,Memphis,American Athletic,20.7,1.2,19.5,0.0,0.056,0.017,0.111,0.0,0.031,0.002,0.107,0.0
2026,Miami,ACC,167.9,9.0,103.6,55.3,0.369,0.055,0.449,0.914,0.491,0.02,0.528,0.904
2026,Miami (OH),Mid-American,31.9,-1.2,17.1,16.1,0.139,-0.024,0.13,0.333,0.287,0.236,0.311,0.315
2026,Michigan,Big Ten,212.5,69.8,74.3,68.4,0.692,1.037,0.601,0.589,0.711,0.986,0.46,0.668
2026,Michigan State,Big Ten,52.9,13.0,33.4,6.5,0.209,0.162,0.244,0.185,0.304,0.449,0.183,0.257
2026,Middle Tennessee,Conference USA,70.8,23.4,36.8,10.7,0.325,0.392,0.262,0.601,0.287,0.292,0.332,0.211
2026,Minnesota,Big Ten,113.5,61.3,50.3,2.0,0.649,0.971,0.451,10.0,0.679,0.992,0.43,0.559
2026,Mississippi State,SEC,109.5,-0.2,47.4,62.3,0.339,-0.002,0.279,0.873,0.398,0.195,0.483,0.514
