year,team,talent
2026,Georgia,1003.67
2026,Texas,985.17
2026,Oregon,984.33
2026,Alabama,973.53
2026,Ohio State,964.27
2026,Notre Dame,953.03
2026,Texas A&M,933.0
2026,LSU,931.76
2026,USC,899.0
2026,Florida,891.07
2026,Michigan,890.02
2026,Miami,885.94
2026,Tennessee,885.9
2026,Ole Miss,885.72
2026,South Carolina,862.87
2026,Clemson,862.85
2026,Oklahoma,851.14
2026,Auburn,828.19
2026,Missouri,808.36
2026,Mississippi State,804.53
2026,Florida State,800.2
2026,Nebraska,787.45
2026,Kentucky,786.65
2026,Washington,777.63
2026,UCLA,774.45
2026,Penn State,774.04
2026,Virginia Tech,769.12
2026,North Carolina,767.89
2026,Texas Tech,767.89
2026,Wisconsin,767.68
2026,SMU,764.5
2026,NC State,757.14
2026,California,751.92
2026,Georgia Tech,751.65
2026,Syracuse,745.61
2026,Arkansas,745.48
2026,Louisville,739.97
2026,Indiana,735.26
2026,Colorado,731.62
2026,TCU,730.79
2026,Minnesota,728.79
2026,Vanderbilt,727.39
2026,Baylor,723.28
2026,Iowa,722.73
2026,Arizona State,722.0
2026,Maryland,719.64
2026,Kansas State,718.67
2026,Rutgers,709.04
2026,West Virginia,707.6
2026,Stanford,705.81
2026,Illinois,704.01
2026,South Florida,703.81
2026,Virginia,700.18
2026,Arizona,699.59
2026,Purdue,698.33
2026,UNLV,696.03
2026,Houston,695.93
2026,Utah,695.72
2026,BYU,689.42
2026,Northwestern,688.32
2026,Michigan State,685.02
2026,Kansas,684.51
2026,Wake Forest,680.87
2026,Pittsburgh,675.02
2026,Oklahoma State,672.69
2026,UCF,672.14
2026,Memphis,670.31
2026,Iowa State,669.55
2026,Duke,668.47
2026,Tulane,665.11
2026,Boston College,660.0
2026,UTSA,655.82
2026,UConn,652.56
2026,Boise State,641.17
2026,Colorado State,640.31
2026,Oregon State,635.79
2026,Cincinnati,634.28
2026,Georgia Southern,634.19
2026,Liberty,633.35
2026,Temple,631.07
2026,Washington State,630.29
2026,Texas State,624.81
2026,East Carolina,623.79
2026,Tulsa,622.84
2026,App State,621.61
2026,Miami (OH),621.37
2026,Western Kentucky,611.52
2026,Fresno State,609.75
2026,San Diego State,609.22
2026,Florida International,607.56
2026,Arkansas State,606.22
2026,UAB,606.18
2026,Jacksonville State,602.83
2026,Southern Miss,602.63
2026,North Texas,602.08
2026,Troy,596.19
2026,Marshall,594.71
2026,Florida Atlantic,593.36
2026,Louisiana,590.94
2026,Rice,589.89
2026,James Madison,588.31
2026,UTEP,585.76
2026,Eastern Michigan,580.64
2026,Charlotte,576.77
2026,Coastal Carolina,573.96
2026,Georgia State,573.83
2026,South Alabama,573.38
2026,Western Michigan,572.2
2026,Middle Tennessee,571.5
2026,San José State,569.25
2026,Bowling Green,568.33
2026,New Mexico,568.19
2026,Ball State,563.88
2026,Sacramento State,561.42
2026,Hawai'i,556.82
2026,Toledo,556.26
2026,Sam Houston,554.47
2026,Nevada,549.99
2026,Missouri State,549.92
2026,Buffalo,549.31
2026,Akron,546.84
2026,Old Dominion,544.25
2026,Utah State,543.98
2026,Louisiana Tech,543.02
2026,Central Michigan,540.01
2026,Northern Illinois,536.58
2026,Wyoming,528.29
2026,Massachusetts,525.94
2026,Ohio,522.84
2026,Kent State,522.83
2026,North Dakota State,515.59
2026,UL Monroe,505.49
2026,Kennesaw State,502.86
2026,Delaware,483.48
2026,New Mexico State,460.38
2026,Army,303.83
2026,Air Force,272.35
2026,Navy,195.68
