game_id,homeTeam,awayTeam,week,kickoff,temp_f,precip_pct,wind_mph
401858212,Florida State,SMU,1,2026-09-07T23:30:00+00:00,87.6,11,7.8
401858213,Miami,Florida A&M,2,2026-09-11T00:00:00+00:00,87.6,53,8.5
401858220,Virginia,Norfolk State,2,2026-09-11T23:00:00+00:00,71.9,19,0.7
401858215,Louisville,Villanova,2,2026-09-11T23:00:00+00:00,83.6,11,3.6
401858222,NC State,Richmond,2,2026-09-11T23:00:00+00:00,82.8,45,12.2
401858214,Boston College,Rutgers,2,2026-09-11T23:30:00+00:00,67.9,1,5.2
401856678,Kansas,Missouri,2,2026-09-12T00:00:00+00:00,89.1,7,12.6
401858221,Virginia Tech,Old Dominion,2,2026-09-12T16:00:00+00:00,76.0,39,4.3
401856782,Oklahoma State,Oregon,2,2026-09-12T16:00:00+00:00,84.5,16,14.8
401856781,Kansas State,Washington State,2,2026-09-12T16:00:00+00:00,80.9,12,6.9
401866416,Kent State,Wofford,2,2026-09-12T16:00:00+00:00,78.2,5,5.6
401856679,Michigan,Oklahoma,2,2026-09-12T16:00:00+00:00,76.6,8,6.2
401864571,East Carolina,App State,2,2026-09-12T16:00:00+00:00,84.8,26,2.7
401856683,Texas A&M,Arizona State,2,2026-09-12T16:00:00+00:00,89.5,1,8.8
401858442,Temple,Penn State,2,2026-09-12T16:00:00+00:00,80.5,8,4.0
401858218,North Carolina,East Tennessee State,2,2026-09-12T16:00:00+00:00,81.4,34,3.1
401858224,Purdue,Wake Forest,2,2026-09-12T16:00:00+00:00,79.5,17,7.3
401862702,Army,South Florida,2,2026-09-12T16:00:00+00:00,73.4,2,4.1
401858439,Indiana,Howard,2,2026-09-12T16:00:00+00:00,83.9,11,6.0
401856673,Georgia,Western Kentucky,2,2026-09-12T16:45:00+00:00,78.4,24,2.6
401866415,Central Michigan,Colgate,2,2026-09-12T17:00:00+00:00,80.0,8,10.5
401856791,West Virginia,UT Martin,2,2026-09-12T17:00:00+00:00,83.7,16,2.9
401866417,Miami (OH),Holy Cross,2,2026-09-12T17:00:00+00:00,83.6,11,5.0
401866413,Ball State,Stony Brook,2,2026-09-12T18:00:00+00:00,81.6,12,6.3
401856790,Pittsburgh,UCF,2,2026-09-12T19:30:00+00:00,84.9,19,2.4
401866412,Akron,Robert Morris,2,2026-09-12T19:30:00+00:00,83.2,14,5.8
401862708,UAB,UL Monroe,2,2026-09-12T19:30:00+00:00,93.7,36,4.1
401859184,Notre Dame,Rice,2,2026-09-12T19:30:00+00:00,84.3,11,7.3
401858446,Washington,Utah State,2,2026-09-12T19:30:00+00:00,59.1,27,2.8
401858440,Michigan State,Eastern Michigan,2,2026-09-12T19:30:00+00:00,81.8,9,8.5
401866420,Massachusetts,Sacred Heart,2,2026-09-12T19:30:00+00:00,76.1,4,4.4
401860884,Texas State,UTSA,2,2026-09-12T19:30:00+00:00,100.4,2,11.6
401858444,UConn,Maryland,2,2026-09-12T19:30:00+00:00,80.9,5,5.5
401858217,Illinois,Duke,2,2026-09-12T19:30:00+00:00,87.6,12,6.2
401858216,Syracuse,California,2,2026-09-12T19:30:00+00:00,78.9,6,6.8
401856810,BYU,Arizona,2,2026-09-12T19:30:00+00:00,86.6,6,11.8
401856785,Colorado,Weber State,2,2026-09-12T19:30:00+00:00,91.3,13,11.0
401856677,Minnesota,Mississippi State,2,2026-09-12T19:30:00+00:00,75.7,5,4.2
401856674,Kentucky,Alabama,2,2026-09-12T19:30:00+00:00,88.8,18,4.7
401867929,James Madison,Wagner,2,2026-09-12T19:30:00+00:00,78.3,36,7.2
401866419,Toledo,Central Connecticut,2,2026-09-12T19:30:00+00:00,86.6,8,6.0
401862705,North Texas,UNLV,2,2026-09-12T19:45:00+00:00,103.2,7,9.6
401864506,Wyoming,Northern Colorado,2,2026-09-12T20:00:00+00:00,82.9,20,17.3
401868326,Troy,Alabama State,2,2026-09-12T20:00:00+00:00,91.7,43,5.1
401858223,SMU,UC Davis,2,2026-09-12T20:00:00+00:00,102.9,6,5.6
401865252,New Mexico,Mercyhurst,2,2026-09-12T20:00:00+00:00,91.6,4,6.0
401856684,Vanderbilt,Delaware,2,2026-09-12T20:15:00+00:00,96.2,19,1.9
401856672,Florida,Campbell,2,2026-09-12T21:30:00+00:00,96.3,50,3.0
401866418,Ohio,Jacksonville State,2,2026-09-12T22:00:00+00:00,83.8,22,2.8
401860881,Boise State,Memphis,2,2026-09-12T22:00:00+00:00,78.0,2,14.0
401868187,Liberty,Gardner-Webb,2,2026-09-12T22:00:00+00:00,80.7,39,3.0
401866414,Florida International,Buffalo,2,2026-09-12T22:00:00+00:00,90.3,50,12.0
401866421,Western Michigan,Monmouth,2,2026-09-12T22:30:00+00:00,82.8,12,6.2
401868241,Arkansas State,West Georgia,2,2026-09-12T23:00:00+00:00,87.1,16,8.8
401871045,Marshall,Middle Tennessee,2,2026-09-12T23:00:00+00:00,79.3,17,4.2
401856681,Georgia Tech,Tennessee,2,2026-09-12T23:00:00+00:00,84.7,49,3.7
401856680,South Carolina,Towson,2,2026-09-12T23:00:00+00:00,78.1,48,6.7
401856787,Houston,Southern,2,2026-09-12T23:00:00+00:00,90.1,19,10.9
401856786,Cincinnati,Western Carolina,2,2026-09-12T23:00:00+00:00,81.6,22,4.0
401860882,Colorado State,Southern Utah,2,2026-09-12T23:00:00+00:00,90.2,15,4.1
401858441,Nebraska,Bowling Green,2,2026-09-12T23:00:00+00:00,90.7,6,12.7
401862707,Sam Houston,Tulsa,2,2026-09-12T23:00:00+00:00,90.4,6,9.6
401864503,Northern Illinois,Illinois State,2,2026-09-12T23:00:00+00:00,76.9,11,1.4
401869955,Kennesaw State,Georgia State,2,2026-09-12T23:00:00+00:00,83.8,48,2.4
401871046,Missouri State,Lindenwood,2,2026-09-12T23:00:00+00:00,90.7,16,1.7
401864575,Tulane,South Alabama,2,2026-09-12T23:00:00+00:00,88.3,55,6.7
401858443,UCLA,San Diego State,2,2026-09-12T23:15:00+00:00,86.8,0,7.7
401858447,Wisconsin,Western Illinois,2,2026-09-12T23:15:00+00:00,74.1,7,4.5
401856788,Iowa,Iowa State,2,2026-09-12T23:30:00+00:00,79.6,9,7.3
401856682,Texas,Ohio State,2,2026-09-12T23:30:00+00:00,100.5,2,10.6
401862703,Florida Atlantic,Navy,2,2026-09-12T23:30:00+00:00,89.1,51,10.3
401858219,Clemson,Georgia Southern,2,2026-09-12T23:30:00+00:00,78.1,50,2.9
401867796,LSU,Louisiana Tech,2,2026-09-12T23:30:00+00:00,86.9,49,2.9
401856783,Oregon State,Texas Tech,2,2026-09-12T23:30:00+00:00,68.4,14,11.9
401868008,Coastal Carolina,Fordham,2,2026-09-12T23:30:00+00:00,80.0,55,6.6
401856671,Auburn,Southern Miss,2,2026-09-12T23:45:00+00:00,78.3,43,4.5
401856676,Ole Miss,Charlotte,2,2026-09-12T23:45:00+00:00,89.9,22,7.3
401856789,TCU,Grambling,2,2026-09-13T00:00:00+00:00,102.0,5,12.5
401856784,Baylor,Prairie View A&M,2,2026-09-13T00:00:00+00:00,98.9,4,15.2
401864504,San José State,Cal Poly,2,2026-09-13T01:00:00+00:00,74.7,0,9.8
401864505,UTEP,Texas Southern,2,2026-09-13T01:00:00+00:00,92.1,8,5.8
401864502,Air Force,North Dakota State,2,2026-09-13T02:00:00+00:00,69.5,15,4.8
401856670,Utah,Arkansas,2,2026-09-13T02:15:00+00:00,83.2,6,5.4
401860883,Fresno State,Sacramento State,2,2026-09-13T02:30:00+00:00,90.0,0,13.3
401864500,Nevada,Montana State,2,2026-09-13T02:30:00+00:00,70.5,0,9.7
401858445,USC,Louisiana,2,2026-09-13T03:00:00+00:00,78.1,0,7.2
401864578,Hawai'i,New Mexico State,2,2026-09-13T03:59:00+00:00,80.8,8,6.7
401858225,Pittsburgh,Syracuse,3,2026-09-17T23:30:00+00:00,66.4,14,3.7
401858226,Wake Forest,Miami,3,2026-09-18T23:30:00+00:00,70.1,21,11.4
401856811,Texas Tech,Houston,3,2026-09-19T00:00:00+00:00,88.8,10,7.8
401858455,Oregon,Portland State,3,2026-09-19T02:30:00+00:00,64.3,3,5.2
401869940,Delaware,Coastal Carolina,3,2026-09-19T15:30:00+00:00,58.3,24,10.9
401856812,Kansas,Arizona State,3,2026-09-19T16:00:00+00:00,66.5,14,6.9
401858456,Penn State,Buffalo,3,2026-09-19T16:00:00+00:00,55.7,21,10.1
401856686,Arkansas,Georgia,3,2026-09-19T16:00:00+00:00,78.6,21,12.3
401858229,Clemson,North Carolina,3,2026-09-19T16:00:00+00:00,74.2,14,2.4
401856798,Iowa State,Bowling Green,3,2026-09-19T16:00:00+00:00,70.4,17,15.4
401860889,Texas State,North Texas,3,2026-09-19T16:00:00+00:00,84.5,8,7.2
401858451,Minnesota,Akron,3,2026-09-19T16:00:00+00:00,74.2,23,9.5
401858228,Georgia Tech,Mercer,3,2026-09-19T16:00:00+00:00,75.5,14,7.3
401856792,Kansas State,Tulane,3,2026-09-19T16:00:00+00:00,84.0,11,18.0
401858454,Ohio State,Kent State,3,2026-09-19T16:00:00+00:00,61.5,16,2.9
401858460,Wisconsin,Eastern Michigan,3,2026-09-19T16:30:00+00:00,65.6,5,17.0
401856695,Vanderbilt,NC State,3,2026-09-19T16:45:00+00:00,72.0,17,5.1
401864508,Central Michigan,Wyoming,3,2026-09-19T17:00:00+00:00,57.5,13,9.1
401858448,Illinois,Southern Illinois,3,2026-09-19T18:00:00+00:00,67.3,6,9.8
401858227,Boston College,Maine,3,2026-09-19T18:00:00+00:00,62.2,10,8.0
401862774,Toledo,Temple,3,2026-09-19T19:00:00+00:00,70.0,13,4.7
401866424,Massachusetts,Stonehill,3,2026-09-19T19:30:00+00:00,62.4,18,9.4
401856797,Cincinnati,Miami (OH),3,2026-09-19T19:30:00+00:00,72.8,6,1.7
401856694,Texas A&M,Kentucky,3,2026-09-19T19:30:00+00:00,91.9,5,4.1
401858457,Rutgers,USC,3,2026-09-19T19:30:00+00:00,67.5,25,10.6
401856801,Utah,Utah State,3,2026-09-19T19:30:00+00:00,82.8,23,11.2
401860890,Washington State,Duquesne,3,2026-09-19T19:30:00+00:00,67.9,13,16.9
401858450,Michigan,UTEP,3,2026-09-19T19:30:00+00:00,64.8,6,6.5
401858233,California,Wagner,3,2026-09-19T19:30:00+00:00,78.9,3,3.2
401856685,Alabama,Florida State,3,2026-09-19T19:30:00+00:00,87.6,11,0.7
401858230,Louisville,SMU,3,2026-09-19T19:30:00+00:00,74.8,13,1.6
401858471,Iowa,Northern Iowa,3,2026-09-19T20:00:00+00:00,80.8,12,12.4
401866422,Liberty,Ball State,3,2026-09-19T20:00:00+00:00,75.4,17,2.1
401867804,Baylor,Louisiana Tech,3,2026-09-19T20:00:00+00:00,95.5,1,7.3
401858231,Duke,Stanford,3,2026-09-19T20:00:00+00:00,75.6,19,4.1
401858449,Indiana,Western Kentucky,3,2026-09-19T20:00:00+00:00,73.5,9,4.5
401856691,South Carolina,Mississippi State,3,2026-09-19T20:15:00+00:00,80.2,12,4.5
401868317,UL Monroe,SE Louisiana,3,2026-09-19T20:30:00+00:00,89.5,3,6.7
401864574,App State,Charlotte,3,2026-09-19T22:00:00+00:00,61.7,23,6.5
401862710,Old Dominion,East Carolina,3,2026-09-19T22:00:00+00:00,69.2,22,6.7
401862771,Florida Atlantic,Florida International,3,2026-09-19T22:00:00+00:00,88.9,43,4.0
401871047,Missouri State,Marshall,3,2026-09-19T22:30:00+00:00,84.8,6,8.7
401866423,South Alabama,Ohio,3,2026-09-19T23:00:00+00:00,78.1,28,1.8
401864443,Middle Tennessee,Nevada,3,2026-09-19T23:00:00+00:00,69.5,13,4.9
401869948,Jacksonville State,Georgia Southern,3,2026-09-19T23:00:00+00:00,74.3,14,2.5
401856803,Oklahoma State,Murray State,3,2026-09-19T23:00:00+00:00,94.0,10,17.7
401861963,Southern Miss,UConn,3,2026-09-19T23:00:00+00:00,77.5,9,3.8
401856800,UCF,Georgia State,3,2026-09-19T23:00:00+00:00,79.2,33,7.8
401862777,South Florida,Delaware State,3,2026-09-19T23:00:00+00:00,82.7,44,8.6
401862773,Rice,Western Michigan,3,2026-09-19T23:00:00+00:00,88.6,25,7.7
401856687,Auburn,Florida,3,2026-09-19T23:00:00+00:00,76.6,13,5.4
401862772,Memphis,UT Martin,3,2026-09-19T23:00:00+00:00,82.6,20,2.3
401856689,Missouri,Troy,3,2026-09-19T23:00:00+00:00,83.6,3,7.1
401870764,Sam Houston,Nicholls,3,2026-09-19T23:00:00+00:00,81.1,11,6.0
401858459,Washington,Eastern Washington,3,2026-09-19T23:15:00+00:00,66.6,11,8.4
401858452,Nebraska,North Dakota,3,2026-09-19T23:15:00+00:00,91.0,17,15.9
401856690,Oklahoma,New Mexico,3,2026-09-19T23:30:00+00:00,94.9,7,17.7
401858232,Maryland,Virginia Tech,3,2026-09-19T23:30:00+00:00,64.7,14,4.7
401856688,Ole Miss,LSU,3,2026-09-19T23:30:00+00:00,74.6,20,4.1
401856796,Northwestern,Colorado,3,2026-09-19T23:30:00+00:00,69.2,3,11.8
401856795,Colorado State,BYU,3,2026-09-19T23:30:00+00:00,79.9,14,9.6
401858453,Notre Dame,Michigan State,3,2026-09-19T23:30:00+00:00,62.1,14,9.4
401856802,Virginia,West Virginia,3,2026-09-19T23:30:00+00:00,72.1,13,2.4
401856692,Tennessee,Kennesaw State,3,2026-09-19T23:45:00+00:00,65.8,33,3.6
401862776,Louisiana,UAB,3,2026-09-20T00:00:00+00:00,77.3,23,6.4
401862775,Tulsa,East Texas A&M,3,2026-09-20T00:00:00+00:00,87.5,10,11.5
401856799,TCU,Arkansas State,3,2026-09-20T00:00:00+00:00,94.1,3,10.4
401856693,Texas,UTSA,3,2026-09-20T00:00:00+00:00,93.5,3,4.5
401860887,San Diego State,James Madison,3,2026-09-20T02:00:00+00:00,81.1,5,5.6
401860885,Boise State,South Dakota,3,2026-09-20T02:00:00+00:00,74.6,6,5.6
401856793,Arizona,Northern Illinois,3,2026-09-20T02:30:00+00:00,95.4,11,6.8
401864507,Sacramento State,North Dakota State,3,2026-09-20T02:30:00+00:00,88.5,2,5.6
401858458,UCLA,Purdue,3,2026-09-20T03:00:00+00:00,85.9,3,2.2
401860886,Oregon State,Montana,3,2026-09-20T03:00:00+00:00,62.1,9,5.5
401860888,San José State,Fresno State,3,2026-09-20T03:00:00+00:00,74.9,0,3.7
